Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SwiftRadio application,,,,2021-09-10 15:01:55,2021-09-10 15:04:36,2m - 41.140s,PASSED
,,,,,,,
Test Cases/All test cases/Wait for element present - SwiftRadio,,Source code of SwiftRadio apps: https://github.com/analogcode/Swift-Radio-Pro,,2021-09-10 15:02:20,2021-09-10 15:03:45,1m - 24.881s,PASSED
"tap(findTestObject(""Object Repository/SwiftRadioApps/Wait for element present/XCUIElementTypeStaticText - Radio 1190""), 0)",,,,2021-09-10 15:02:21,2021-09-10 15:02:22,1.453s,PASSED
"elem = findTestObject(""Object Repository/SwiftRadioApps/Wait for element present/XCUIElementTypeStaticText - Error Playing"")",,,,2021-09-10 15:02:22,2021-09-10 15:02:22,0.142s,PASSED
"waitForElementPresent(elem, 120)",,,,2021-09-10 15:02:22,2021-09-10 15:03:39,1m - 16.211s,PASSED
"verifyElementVisible(elem, 0)",,,,2021-09-10 15:03:39,2021-09-10 15:03:39,0.837s,PASSED
Start tear down : tearDownTestCase,,,,2021-09-10 15:03:39,2021-09-10 15:03:45,5.942s,PASSED
,,,,,,,
Test Cases/All test cases/Tap on image - SwiftRadio,,https://github.com/analogcode/Swift-Radio-Pro,,2021-09-10 15:03:45,2021-09-10 15:03:55,9.711s,PASSED
imageFullPath = currentProjDir + imageShortPath,,,,2021-09-10 15:03:46,2021-09-10 15:03:46,0.009s,PASSED
settings = getDriver(),,,,2021-09-10 15:03:46,2021-09-10 15:03:46,0.006s,PASSED
"settings.setSetting(IMAGE_MATCH_THRESHOLD, 0.2)",,,,2021-09-10 15:03:46,2021-09-10 15:03:46,0.034s,PASSED
tapOnImage(imageFullPath),,,,2021-09-10 15:03:46,2021-09-10 15:03:48,1.961s,PASSED
"verifyElementExist(findTestObject(""SwiftRadioApps/Tap on image/XCUIElementTypeButton - btn play""), 3)",,,,2021-09-10 15:03:48,2021-09-10 15:03:49,1.138s,PASSED
Start tear down : tearDownTestCase,,,,2021-09-10 15:03:49,2021-09-10 15:03:55,5.790s,PASSED
,,,,,,,
Test Cases/All test cases/Wait for element not has attribute - SwiftRadio,,Source code of SwiftRadio apps: https://github.com/analogcode/Swift-Radio-Pro,,2021-09-10 15:03:55,2021-09-10 15:04:04,8.668s,PASSED
"tap(findTestObject(""Object Repository/SwiftRadioApps/Wait for element present/XCUIElementTypeStaticText - Radio 1190""), 0)",,,,2021-09-10 15:03:55,2021-09-10 15:03:57,1.528s,PASSED
"elem = findTestObject(""Object Repository/SwiftRadioApps/Wait for element present/XCUIElementTypeStaticText - Error Playing"")",,,,2021-09-10 15:03:57,2021-09-10 15:03:57,0.117s,PASSED
