Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
GradeCalc application,,,,2021-09-10 15:19:29,2021-09-10 15:22:45,3m - 15.579s,PASSED
,,,,,,,
Test Cases/All test cases/Tap and hold - GradCalc,,Source code of GradeCalc apps: https://github.com/marlon360/grade-calc,,2021-09-10 15:21:08,2021-09-10 15:21:19,10.755s,PASSED
"tapAndHold(findTestObject(""Object Repository/CradeCalcApps/XCUIElementTypeButton - add""), 0, 0)",,,,2021-09-10 15:21:08,2021-09-10 15:21:10,2.124s,PASSED
"verifyElementExist(findTestObject(""Object Repository/CradeCalcApps/XCUIElementTypeButton - Save""), 0)",,,,2021-09-10 15:21:10,2021-09-10 15:21:13,2.707s,PASSED
Start tear down : tearDownTestCase,,,,2021-09-10 15:21:13,2021-09-10 15:21:19,5.605s,PASSED
,,,,,,,
Test Cases/All test cases/Set encrypted text - GradeCalc,,Source code of GradeCalc apps: https://github.com/marlon360/grade-calc,,2021-09-10 15:21:19,2021-09-10 15:21:33,14.837s,PASSED
"tapAndHold(findTestObject(""Object Repository/CradeCalcApps/XCUIElementTypeButton - add""), 0, 0)",,,,2021-09-10 15:21:19,2021-09-10 15:21:21,2.057s,PASSED
"text = ""QA katalon""",,,,2021-09-10 15:21:21,2021-09-10 15:21:21,0.002s,PASSED
"setEncryptedText(findTestObject(""Object Repository/CradeCalcApps/XCUIElementTypeTextField - Title""), ""D4BYJaDQ12bjjzKZGpBQ2w=="", 0)",,,,2021-09-10 15:21:21,2021-09-10 15:21:26,4.681s,PASSED
"expectedText = getText(findTestObject(""Object Repository/CradeCalcApps/XCUIElementTypeTextField - Title""), 0)",,,,2021-09-10 15:21:26,2021-09-10 15:21:28,1.712s,PASSED
"verifyMatch(expectedText, text, false)",,,,2021-09-10 15:21:28,2021-09-10 15:21:28,0.029s,PASSED
Start tear down : tearDownTestCase,,,,2021-09-10 15:21:28,2021-09-10 15:21:33,5.712s,PASSED
,,,,,,,
Test Cases/All test cases/Hide keyboard - GradeCalc,,Source code of GradeCalc apps: https://github.com/marlon360/grade-calc,,2021-09-10 15:21:33,2021-09-10 15:21:51,17.928s,PASSED
"tapAndHold(findTestObject(""Object Repository/CradeCalcApps/XCUIElementTypeButton - add""), 0, 0)",,,,2021-09-10 15:21:34,2021-09-10 15:21:36,2.068s,PASSED
"tap(findTestObject(""Object Repository/CradeCalcApps/XCUIElementTypeTextField - Title""), 0)",,,,2021-09-10 15:21:36,2021-09-10 15:21:38,2.553s,PASSED
if (isIpadSimulator),,,,2021-09-10 15:21:38,2021-09-10 15:21:46,7.280s,PASSED
