Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
DragAndDrop application,,,,2021-09-10 15:57:17,2021-09-10 16:05:21,8m - 4.005s,FAILED
,,,,,,,
Test Cases/All test cases/Start Exsting Application,,Source code of DragAndDrop apps: https://github.com/alfianlosari/KanbanDragDropiOS,,2021-09-10 15:57:40,2021-09-10 15:58:02,22.679s,PASSED
pressHome(),,,,2021-09-10 15:57:40,2021-09-10 15:57:41,1.253s,PASSED
startExistingApplication(dragAndDropAppsBundleId),,,,2021-09-10 15:57:41,2021-09-10 15:57:56,14.588s,PASSED
"verifyElementExist(findTestObject(""DragAndDropApps/Clear text/XCUIElementTypeStaticText - Add""), 0)",,,,2021-09-10 15:57:56,2021-09-10 15:57:57,1.248s,PASSED
Start tear down : tearDownTestCase,,,,2021-09-10 15:57:57,2021-09-10 15:58:02,5.293s,PASSED
,,,,,,,
Test Cases/All test cases/Tap at position,,Source code of DragAndDrop apps: https://github.com/alfianlosari/KanbanDragDropiOS,,2021-09-10 15:58:02,2021-09-10 15:58:13,10.457s,PASSED
"elem = findTestObject(""DragAndDropApps/Clear text/XCUIElementTypeStaticText - Add"")",,The iOS apps is started from setupTestCase(),,2021-09-10 15:58:03,2021-09-10 15:58:03,0.055s,PASSED
"x = getElementLeftPosition(elem, 5) + 3",,,,2021-09-10 15:58:03,2021-09-10 15:58:04,1.120s,PASSED
"y = getElementTopPosition(elem, 5) - 3",,,,2021-09-10 15:58:04,2021-09-10 15:58:05,0.970s,PASSED
"tapAtPosition(x, y)",,,,2021-09-10 15:58:05,2021-09-10 15:58:05,0.561s,PASSED
"lblAddItem = findTestObject(""DragAndDropApps/Tap/XCUIElementTypeStaticText - Add Item"")",,,,2021-09-10 15:58:05,2021-09-10 15:58:06,0.181s,PASSED
"verifyElementExist(lblAddItem, 0)",,,,2021-09-10 15:58:06,2021-09-10 15:58:08,2.311s,PASSED
Start tear down : tearDownTestCase,,,,2021-09-10 15:58:08,2021-09-10 15:58:13,4.884s,PASSED
,,,,,,,
Test Cases/All test cases/Get device OS,,Source code of DragAndDrop apps: https://github.com/alfianlosari/KanbanDragDropiOS,,2021-09-10 15:58:13,2021-09-10 15:58:18,5.150s,PASSED
deviceOS = getDeviceOS(),,The iOS apps is started from setupTestCase(),,2021-09-10 15:58:13,2021-09-10 15:58:13,0.035s,PASSED
"verifyMatch(deviceOS, ""iOS"", false)",,,,2021-09-10 15:58:13,2021-09-10 15:58:13,0.032s,PASSED
Start tear down : tearDownTestCase,,,,2021-09-10 15:58:13,2021-09-10 15:58:18,4.824s,PASSED
,,,,,,,
Test Cases/All test cases/Get device height,,Source code of DragAndDrop apps: https://github.com/alfianlosari/KanbanDragDropiOS,,2021-09-10 15:58:18,2021-09-10 15:58:23,5.529s,PASSED
deviceHeight = getDeviceHeight(),,The iOS apps is started from setupTestCase(),,2021-09-10 15:58:18,2021-09-10 15:58:18,0.204s,PASSED
"verifyMatch(deviceHeight, dragAndDropAppsDeviceHeight, false)",,,,2021-09-10 15:58:18,2021-09-10 15:58:18,0.002s,PASSED
Start tear down : tearDownTestCase,,,,2021-09-10 15:58:18,2021-09-10 15:58:23,4.987s,PASSED
,,,,,,,
Test Cases/All test cases/Get current orientation,,Source code of DragAndDrop apps: https://github.com/alfianlosari/KanbanDragDropiOS,,2021-09-10 15:58:23,2021-09-10 15:58:29,5.399s,PASSED
orientation = getCurrentOrientation(),,The iOS apps is started from setupTestCase(),,2021-09-10 15:58:24,2021-09-10 15:58:24,0.138s,PASSED
"verifyMatch(orientation, ""portrait"", false)",,,,2021-09-10 15:58:24,2021-09-10 15:58:24,0.002s,PASSED
Start tear down : tearDownTestCase,,,,2021-09-10 15:58:24,2021-09-10 15:58:29,5.022s,PASSED
,,,,,,,
Test Cases/All test cases/Take screenshot,,Source code of DragAndDrop apps: https://github.com/alfianlosari/KanbanDragDropiOS,,2021-09-10 15:58:29,2021-09-10 15:58:35,6.158s,PASSED
"uniqueString = toString().substring(0, 3)",,The iOS apps is started from setupTestCase(),,2021-09-10 15:58:29,2021-09-10 15:58:29,0.008s,PASSED
"expectedFilename = currentProjDir + ""/Screenshots/Appiumdriver/driver"" + uniqueString + "".png""",,take screenshot by appium driver and put the screenshot to /Screenshots/Appiumdriver,,2021-09-10 15:58:29,2021-09-10 15:58:29,0.001s,PASSED
"webdriver.screenshot.TakeScreenshot.takeScreenshot(expectedFilename, STOP_ON_FAILURE)",,,,2021-09-10 15:58:29,2021-09-10 15:58:29,0.222s,PASSED
"takeScreenshot(""Screenshots/Katalon/katalon"" + uniqueString + "".png"")",,take screenshot by Katalon keyword and put the screenshot to /Screenshots/Katalon,,2021-09-10 15:58:29,2021-09-10 15:58:30,0.290s,PASSED
"actualFilename = currentProjDir + ""/Screenshots/Katalon/katalon"" + uniqueString + "".png""",,Compare two images taken by appium driver and katalon keyword,,2021-09-10 15:58:30,2021-09-10 15:58:30,0.001s,PASSED
"katalon.verifyImage.ImageComparison.areMatched(expectedFilename, actualFilename, CONTINUE_ON_FAILURE)",,,,2021-09-10 15:58:30,2021-09-10 15:58:30,0.189s,PASSED
Start tear down : tearDownTestCase,,,,2021-09-10 15:58:30,2021-09-10 15:58:35,5.196s,PASSED
,,,,,,,
Test Cases/All test cases/Verify element attribute,,Source code of DragAndDrop apps: https://github.com/alfianlosari/KanbanDragDropiOS,,2021-09-10 15:58:35,2021-09-10 15:58:44,8.690s,PASSED
"btnAdd = findTestObject(""DragAndDropApps/Clear text/XCUIElementTypeStaticText - Add"")",,The iOS apps is started from setupTestCase(),,2021-09-10 15:58:35,2021-09-10 15:58:35,0.070s,PASSED
try,,,,2021-09-10 15:58:35,2021-09-10 15:58:37,1.416s,PASSED
try,,,,2021-09-10 15:58:37,2021-09-10 15:58:38,1.609s,FAILED
catch (Exception e),,,,2021-09-10 15:58:38,2021-09-10 15:58:38,0.002s,PASSED
Start tear down : tearDownTestCase,,,,2021-09-10 15:58:38,2021-09-10 15:58:44,5.254s,PASSED
,,,,,,,
Test Cases/All test cases/Run iOS app in background and wait,,Source code of DragAndDrop apps: https://github.com/alfianlosari/KanbanDragDropiOS,,2021-09-10 15:58:44,2021-09-10 15:58:57,13.639s,PASSED
runIOSAppInBackgroundAndWait(7),,,,2021-09-10 15:58:44,2021-09-10 15:58:52,8.326s,PASSED
Start tear down : tearDownTestCase,,,,2021-09-10 15:58:52,2021-09-10 15:58:57,4.933s,PASSED
,,,,,,,
Test Cases/All test cases/Get element left position,,Source code of DragAndDrop apps: https://github.com/alfianlosari/KanbanDragDropiOS,,2021-09-10 15:58:57,2021-09-10 15:59:03,6.149s,PASSED
"elemLeftPos = getElementLeftPosition(findTestObject(""DragAndDropApps/Drad and drop/XCUIElementTypeStaticText - Database Migration""), 5)",,The iOS apps is started from setupTestCase(),,2021-09-10 15:58:58,2021-09-10 15:58:59,1.033s,PASSED
"verifyMatch(elemLeftPos, ""32"", false)",,,,2021-09-10 15:58:59,2021-09-10 15:58:59,0.002s,PASSED
Start tear down : tearDownTestCase,,,,2021-09-10 15:58:59,2021-09-10 15:59:03,4.862s,PASSED
,,,,,,,
Test Cases/All test cases/Switch to portrait,,Source code of DragAndDrop apps: https://github.com/alfianlosari/KanbanDragDropiOS,,2021-09-10 15:59:03,2021-09-10 15:59:11,7.646s,PASSED
switchToLandscape(),,The iOS apps is started from setupTestCase(),,2021-09-10 15:59:04,2021-09-10 15:59:05,0.814s,PASSED
switchToPortrait(),,,,2021-09-10 15:59:05,2021-09-10 15:59:05,0.704s,PASSED
verifyIsPortrait(STOP_ON_FAILURE),,,,2021-09-10 15:59:05,2021-09-10 15:59:05,0.053s,PASSED
Start tear down : tearDownTestCase,,,,2021-09-10 15:59:05,2021-09-10 15:59:11,5.820s,PASSED
,,,,,,,
Test Cases/All test cases/Verify is portrait,,Source code of DragAndDrop apps: https://github.com/alfianlosari/KanbanDragDropiOS,,2021-09-10 15:59:11,2021-09-10 15:59:20,8.475s,PASSED
try,,The iOS apps is started from setupTestCase(),,2021-09-10 15:59:12,2021-09-10 15:59:12,0.134s,PASSED
switchToLandscape(),,,,2021-09-10 15:59:12,2021-09-10 15:59:13,0.662s,PASSED
try,,,,2021-09-10 15:59:13,2021-09-10 15:59:13,0.729s,FAILED
catch (Exception e),,,,2021-09-10 15:59:13,2021-09-10 15:59:13,0.000s,PASSED
switchToPortrait(),,,,2021-09-10 15:59:13,2021-09-10 15:59:14,0.799s,PASSED
Start tear down : tearDownTestCase,,,,2021-09-10 15:59:14,2021-09-10 15:59:20,5.433s,PASSED
,,,,,,,
Test Cases/All test cases/Get attributes,,Source code of DragAndDrop apps: https://github.com/alfianlosari/KanbanDragDropiOS,,2021-09-10 15:59:20,2021-09-10 15:59:26,6.420s,PASSED
"label = getAttribute(findTestObject(""DragAndDropApps/Drad and drop/XCUIElementTypeStaticText - first item by Xpath""), ""label"", 0)",,The iOS apps is started from setupTestCase(),,2021-09-10 15:59:20,2021-09-10 15:59:21,0.824s,PASSED
"verifyMatch(label, ""Database Migration"", false)",,,,2021-09-10 15:59:21,2021-09-10 15:59:21,0.002s,PASSED
Start tear down : tearDownTestCase,,,,2021-09-10 15:59:21,2021-09-10 15:59:26,5.234s,PASSED
,,,,,,,
Test Cases/All test cases/Press Home,,Source code of DragAndDrop apps: https://github.com/alfianlosari/KanbanDragDropiOS,,2021-09-10 15:59:26,2021-09-10 16:00:06,39.813s,PASSED
"tap(findTestObject(""DragAndDropApps/Clear text/XCUIElementTypeStaticText - Add""), 0)",,The iOS apps is started from setupTestCase(),,2021-09-10 15:59:26,2021-09-10 15:59:28,1.971s,PASSED
pressHome(),,,,2021-09-10 15:59:28,2021-09-10 15:59:30,1.337s,PASSED
"lblAddItem = findTestObject(""DragAndDropApps/Tap/XCUIElementTypeStaticText - Add Item"")",,,,2021-09-10 15:59:30,2021-09-10 15:59:30,0.528s,PASSED
"verifyElementNotExist(lblAddItem, 0)",,,,2021-09-10 15:59:30,2021-09-10 16:00:00,30.101s,PASSED
Start tear down : tearDownTestCase,,,,2021-09-10 16:00:00,2021-09-10 16:00:06,5.505s,PASSED
,,,,,,,
Test Cases/All test cases/Get device width,,Source code of DragAndDrop apps: https://github.com/alfianlosari/KanbanDragDropiOS,,2021-09-10 16:00:06,2021-09-10 16:00:12,6.232s,PASSED
deviceWidth = getDeviceWidth(),,The iOS apps is started from setupTestCase(),,2021-09-10 16:00:06,2021-09-10 16:00:07,0.314s,PASSED
"verifyMatch(deviceWidth, dragAndDropAppsDeviceWidth, false)",,,,2021-09-10 16:00:07,2021-09-10 16:00:07,0.001s,PASSED
Start tear down : tearDownTestCase,,,,2021-09-10 16:00:07,2021-09-10 16:00:12,5.428s,PASSED
,,,,,,,
Test Cases/All test cases/Verify element not exist,,Source code of DragAndDrop apps: https://github.com/alfianlosari/KanbanDragDropiOS,,2021-09-10 16:00:12,2021-09-10 16:00:50,37.630s,PASSED
"btnAdd = findTestObject(""DragAndDropApps/Clear text/XCUIElementTypeStaticText - Add"")",,The iOS apps is started from setupTestCase(),,2021-09-10 16:00:12,2021-09-10 16:00:13,0.053s,PASSED
try,,,,2021-09-10 16:00:13,2021-09-10 16:00:14,1.723s,FAILED
catch (Exception e),,,,2021-09-10 16:00:14,2021-09-10 16:00:14,0.000s,PASSED
"lblAddItem = findTestObject(""DragAndDropApps/Tap/XCUIElementTypeStaticText - Add Item"")",,,,2021-09-10 16:00:14,2021-09-10 16:00:14,0.045s,PASSED
try,,,,2021-09-10 16:00:14,2021-09-10 16:00:44,30.170s,PASSED
Start tear down : tearDownTestCase,,,,2021-09-10 16:00:44,2021-09-10 16:00:50,5.281s,PASSED
,,,,,,,
Test Cases/All test cases/Get element width,,Source code of DragAndDrop apps: https://github.com/alfianlosari/KanbanDragDropiOS,,2021-09-10 16:00:50,2021-09-10 16:00:57,6.879s,PASSED
"elemWidth = getElementWidth(findTestObject(""DragAndDropApps/Drad and drop/XCUIElementTypeStaticText - Database Migration""), 5)",,The iOS apps is started from setupTestCase(),,2021-09-10 16:00:50,2021-09-10 16:00:51,1.285s,PASSED
"verifyMatch(elemWidth, ""193"", false)",,,,2021-09-10 16:00:51,2021-09-10 16:00:51,0.002s,PASSED
Start tear down : tearDownTestCase,,,,2021-09-10 16:00:51,2021-09-10 16:00:57,5.246s,PASSED
,,,,,,,
Test Cases/All test cases/Verify element has attribute,,Source code of DragAndDrop apps: https://github.com/alfianlosari/KanbanDragDropiOS,,2021-09-10 16:00:57,2021-09-10 16:01:06,9.394s,PASSED
"btnAdd = findTestObject(""DragAndDropApps/Clear text/XCUIElementTypeStaticText - Add"")",,The iOS apps is started from setupTestCase(),,2021-09-10 16:00:57,2021-09-10 16:00:57,0.101s,PASSED
try,,,,2021-09-10 16:00:57,2021-09-10 16:00:59,1.457s,PASSED
try,,,,2021-09-10 16:00:59,2021-09-10 16:01:00,1.702s,FAILED
catch (Exception e),,,,2021-09-10 16:01:00,2021-09-10 16:01:00,0.001s,PASSED
Start tear down : tearDownTestCase,,,,2021-09-10 16:01:00,2021-09-10 16:01:06,5.725s,PASSED
,,,,,,,
Test Cases/All test cases/Get element top position,,Source code of DragAndDrop apps: https://github.com/alfianlosari/KanbanDragDropiOS,,2021-09-10 16:01:06,2021-09-10 16:01:13,6.708s,PASSED
"elemTopPos = getElementTopPosition(findTestObject(""DragAndDropApps/Drad and drop/XCUIElementTypeStaticText - Database Migration""), 5)",,The iOS apps is started from setupTestCase(),,2021-09-10 16:01:06,2021-09-10 16:01:08,1.257s,PASSED
"verifyGreaterThan(elemTopPos, ""150"", STOP_ON_FAILURE)",,,,2021-09-10 16:01:08,2021-09-10 16:01:08,0.008s,PASSED
Start tear down : tearDownTestCase,,,,2021-09-10 16:01:08,2021-09-10 16:01:13,5.077s,PASSED
,,,,,,,
Test Cases/All test cases/Get device OS Version,,Source code of DragAndDrop apps: https://github.com/alfianlosari/KanbanDragDropiOS,,2021-09-10 16:01:13,2021-09-10 16:01:19,5.963s,PASSED
deviceOSVersion = getDeviceOSVersion(),,The iOS apps is started from setupTestCase(),,2021-09-10 16:01:13,2021-09-10 16:01:13,0.035s,PASSED
"println(""loan testtttttttttttt: "" + deviceOSVersion)",,,,2021-09-10 16:01:13,2021-09-10 16:01:13,0.001s,PASSED
"verifyMatch(deviceOSVersion, dragAndDropAppsOSVersion, false)",,,,2021-09-10 16:01:13,2021-09-10 16:01:13,0.002s,PASSED
Start tear down : tearDownTestCase,,,,2021-09-10 16:01:13,2021-09-10 16:01:19,5.500s,PASSED
,,,,,,,
Test Cases/All test cases/Verify element exist,,Source code of DragAndDrop apps: https://github.com/alfianlosari/KanbanDragDropiOS,,2021-09-10 16:01:19,2021-09-10 16:01:57,37.810s,PASSED
"btnAdd = findTestObject(""DragAndDropApps/Clear text/XCUIElementTypeStaticText - Add"")",,The iOS apps is started from setupTestCase(),,2021-09-10 16:01:19,2021-09-10 16:01:19,0.052s,PASSED
try,,,,2021-09-10 16:01:19,2021-09-10 16:01:20,1.195s,PASSED
